epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3802,2.07299,2.43581,1.75254,0.29293,0.33836,0.24304,0.10026,1.98807,2.09738,1.48801,0.000655738,0.000655738,0.000655738
2,30.4546,1.7698,1.75683,1.4956,0.3444,0.44003,0.30479,0.13507,1.87663,2.07058,1.50525,0.00129622,0.00129622,0.00129622
3,44.0942,1.69238,1.69802,1.45022,0.39974,0.45036,0.38235,0.16724,1.91638,1.88094,1.50787,0.0019103,0.0019103,0.0019103
4,57.8125,1.65572,1.68446,1.41621,0.4688,0.41938,0.40853,0.18159,1.90736,2.34849,1.42351,0.0018812,0.0018812,0.0018812
5,71.2369,1.62944,1.65397,1.40389,0.3596,0.37649,0.33693,0.15662,2.01567,2.58947,1.65245,0.0018416,0.0018416,0.0018416
6,84.2685,1.55547,1.62321,1.36016,0.43024,0.49062,0.42178,0.17441,1.91138,2.17201,1.4095,0.001802,0.001802,0.001802
7,97.5685,1.5009,1.54041,1.33813,0.52617,0.5345,0.52125,0.26872,1.62212,1.75936,1.31443,0.0017624,0.0017624,0.0017624
8,110.719,1.4672,1.50716,1.29641,0.51636,0.57109,0.56473,0.29697,1.65476,1.54637,1.28912,0.0017228,0.0017228,0.0017228
9,123.669,1.46584,1.46833,1.27994,0.56994,0.59492,0.59897,0.33883,1.55508,1.44015,1.23128,0.0016832,0.0016832,0.0016832
10,137.15,1.39654,1.43467,1.26969,0.6355,0.66005,0.66542,0.36272,1.52707,1.41391,1.24319,0.0016436,0.0016436,0.0016436
11,150.448,1.41188,1.42287,1.25526,0.64768,0.65925,0.67467,0.3888,1.44929,1.35501,1.20013,0.001604,0.001604,0.001604
12,163.461,1.36683,1.38013,1.23726,0.64398,0.68546,0.6942,0.41853,1.39423,1.3395,1.18922,0.0015644,0.0015644,0.0015644
13,176.445,1.35203,1.35541,1.22651,0.66253,0.67752,0.6882,0.39899,1.40063,1.29846,1.18943,0.0015248,0.0015248,0.0015248
14,189.953,1.3587,1.36353,1.23627,0.60844,0.68785,0.68693,0.42913,1.32594,1.30232,1.11241,0.0014852,0.0014852,0.0014852
15,203.761,1.32634,1.33428,1.21112,0.70791,0.67752,0.72558,0.43969,1.37859,1.26133,1.10013,0.0014456,0.0014456,0.0014456
16,217.05,1.33602,1.34362,1.21903,0.68903,0.70749,0.7442,0.45782,1.33004,1.15747,1.1083,0.001406,0.001406,0.001406
17,230.331,1.26163,1.25769,1.19525,0.68609,0.68919,0.72419,0.4497,1.32009,1.19639,1.06632,0.0013664,0.0013664,0.0013664
18,243.174,1.25067,1.24104,1.18438,0.66867,0.70692,0.71242,0.42704,1.36372,1.26696,1.09609,0.0013268,0.0013268,0.0013268
19,255.753,1.26365,1.27453,1.17078,0.7311,0.72041,0.76155,0.48728,1.28487,1.14466,1.07327,0.0012872,0.0012872,0.0012872
20,268.911,1.24322,1.2267,1.1693,0.74901,0.73153,0.79405,0.50436,1.28753,1.09454,1.08184,0.0012476,0.0012476,0.0012476
21,282.254,1.22237,1.21278,1.16523,0.81918,0.76569,0.82601,0.53273,1.22536,1.05817,1.03301,0.001208,0.001208,0.001208
22,295.287,1.20038,1.16484,1.14409,0.84303,0.76489,0.83877,0.55763,1.20967,1.00549,1.0297,0.0011684,0.0011684,0.0011684
23,308.136,1.2124,1.16591,1.15947,0.74427,0.76092,0.78042,0.4839,1.33652,1.09397,1.06255,0.0011288,0.0011288,0.0011288
24,321.516,1.20713,1.19078,1.18121,0.78775,0.78708,0.82737,0.56731,1.15895,0.99594,1.01117,0.0010892,0.0010892,0.0010892
25,334.844,1.1788,1.14075,1.12542,0.81382,0.77125,0.83353,0.54186,1.21226,0.97798,1.00702,0.0010496,0.0010496,0.0010496
26,348.084,1.15156,1.10259,1.12412,0.80254,0.76569,0.83696,0.5713,1.12453,0.93365,0.98228,0.00101,0.00101,0.00101
